"","network_property","value","management"
"1","transitivity",0.106538675028338,"conventional"
"2","mean_mod",0.464570346603898,"conventional"
"3","betweenness_centrality",391.104100946372,"conventional"
"4","AUC",0.360579802739288,"conventional"
"5","Lmax",50086,"conventional"
"6","AUC_norm",7.19921340772448e-06,"conventional"
"7","transitivity",0.141713074042326,"organic"
"8","mean_mod",0.457667397126857,"organic"
"9","betweenness_centrality",399.331230283912,"organic"
"10","AUC",0.340554246695683,"organic"
"11","Lmax",50086,"organic"
"12","AUC_norm",6.79938998314266e-06,"organic"
